id_client,idade,salario_anual,num_contas,num_cartoes,juros_emprestimo,num_emprestimos,dias_atraso,num_pagamentos_atrasados,num_verificacoes_credito,divida_total,taxa_uso_credito,idade_historico_credito,investimento_mensal,saldo_final_mes,profissao,mix_credito,comportamento_pagamento,score_credito
13266,30.5,31993.78,6.0,6.0,7.0,2.0,8.5,14.5,0.75,818.22,31.931,205.5,23.271,366.792,cientista,Normal,alto_gasto_pagamento_baixos,Standard
24688,20.0,92047.08,6.0,7.0,16.0,0.0,16.25,10.75,3.5,1296.64,34.868,353.5,59.286,786.139,contador,Normal,alto_gasto_pagamento_alto,Poor
4059,45.875,32284.62,6.0,7.0,17.0,6.0,11.125,12.0,9.0,1283.37,29.416,80.5,35.794,231.67,professor,Normal,baixo_gasto_pagamento_baixo,Standard
13651,26.0,97791.42,6.0,6.0,12.0,0.0,17.875,7.875,1.0,107.41,32.736,329.5,77.609,758.022,musico,Normal,alto_gasto_pagamento_medio,Good
16640,31.5,19300.34,6.0,7.0,17.0,5.0,51.0,18.625,7.375,2430.21,29.566,221.5,44.51,271.368,empresario,Ruim,baixo_gasto_pagamento_alto,Poor
4911,41.0,19514.88,7.0,5.0,17.0,0.0,29.5,12.5,2.25,881.4,31.982,234.5,43.316,348.665,musico,Normal,alto_gasto_pagamento_medio,Poor
41326,41.375,10183.015,7.0,5.0,17.0,5.0,48.25,21.125,6.0,1672.43,28.579,124.5,14.623,285.071,gerente_midia,Ruim,baixo_gasto_pagamento_baixo,Poor
44166,19.875,106733.13,4.0,4.0,1.0,0.0,6.0,6.25,0.25,76.23,33.662,396.5,172.033,755.142,empresario,Bom,alto_gasto_pagamento_medio,Good
23368,31.625,12600.445,5.0,5.0,10.0,3.0,24.75,18.5,7.5,569.8,32.888,150.5,0.0,285.074,advogado,Normal,baixo_gasto_pagamento_baixo,Poor
42489,34.0,57983.12,9.0,8.0,31.0,8.0,48.375,21.25,16.375,3532.83,32.809,149.625,159.137,254.778,mecanico,Ruim,baixo_gasto_pagamento_baixo,Poor
19779,48.0,20787.69,8.0,6.0,14.0,3.0,22.375,13.75,3.0,614.6,29.883,217.5,21.746,312.569,empresario,Normal,baixo_gasto_pagamento_baixo,Standard
47455,30.0,34290.12,9.0,8.0,25.0,7.0,51.375,9.625,10.0,2686.81,32.688,167.5,50.45,187.859,escritor,Normal,baixo_gasto_pagamento_alto,Poor
16092,32.0,43070.24,3.0,3.0,18.0,1.0,11.25,8.0,6.0,1233.1,29.418,233.5,28.187,386.903,contador,Normal,baixo_gasto_pagamento_alto,Standard
49150,40.0,28572.39,6.0,3.0,15.0,3.0,25.375,11.625,1.0,400.07,32.038,366.5,25.993,348.312,arquiteto,Normal,alto_gasto_pagamento_medio,Standard
46721,37.125,39641.54,10.0,8.0,25.0,6.0,61.0,14.875,7.75,2258.73,29.934,107.625,115.707,200.688,gerente,Ruim,baixo_gasto_pagamento_alto,Poor
39537,54.75,20186.02,1.0,5.0,1.0,2.0,4.875,5.875,4.0,413.32,32.65,222.5,14.29,311.268,cientista,Bom,alto_gasto_pagamento_medio,Good
24648,43.125,18627.64,7.0,7.0,19.0,6.0,30.375,20.75,7.0,1793.54,32.557,228.5,24.346,271.068,musico,Ruim,baixo_gasto_pagamento_baixo,Poor
38325,21.5,12986.745,4.0,3.0,10.0,2.0,29.375,17.25,6.75,1489.49,29.472,107.5,16.287,295.918,engenheiro,Normal,baixo_gasto_pagamento_baixo,Standard
16388,43.75,58317.0,8.0,5.0,9.0,6.0,18.25,20.0,8.5,98.97,30.962,160.5,57.951,432.873,escritor,Normal,alto_gasto_pagamento_medio,Standard
45313,36.75,42171.98,2.0,7.0,10.0,3.0,3.5,9.75,4.0,556.91,33.864,260.5,56.711,407.692,cientista,Bom,baixo_gasto_pagamento_alto,Good
39828,36.0,71681.4,3.0,6.0,15.0,1.0,7.0,8.0,0.0,1293.02,34.897,310.5,74.603,532.919,gerente,Normal,alto_gasto_pagamento_alto,Good
16512,16.0,29469.98,7.0,7.0,24.0,5.0,53.25,21.375,11.0,3421.66,31.854,161.625,24.066,347.677,mecanico,Ruim,baixo_gasto_pagamento_baixo,Poor
28778,19.75,72559.36,4.0,5.0,17.0,4.0,14.875,20.125,1.5,1173.7,33.261,338.5,82.497,431.482,engenheiro,Normal,alto_gasto_pagamento_medio,Standard
17068,36.75,15566.02,8.0,5.0,32.0,4.0,15.125,20.25,8.25,1693.95,30.774,97.5,46.577,280.156,musico,Normal,baixo_gasto_pagamento_baixo,Poor
22303,18.5,66567.32,5.0,7.0,5.0,2.0,7.0,14.5,0.25,233.79,30.4,294.5,66.688,465.027,desenvolvedor,Normal,alto_gasto_pagamento_medio,Standard
46591,32.75,12909.895,5.0,5.0,13.0,0.0,21.125,14.5,1.5,602.5,32.854,208.5,20.447,305.399,gerente_midia,Normal,baixo_gasto_pagamento_baixo,Standard
27163,33.0,30788.44,7.0,9.0,31.0,6.0,48.875,20.375,9.0,3470.08,33.192,17.5,53.649,299.465,contador,Ruim,baixo_gasto_pagamento_baixo,Standard
39873,42.0,20574.47,6.0,3.0,14.0,4.0,5.375,9.5,9.75,749.95,32.551,134.5,23.56,283.847,arquiteto,Normal,baixo_gasto_pagamento_baixo,Standard
3173,21.625,148699.32,3.0,4.0,5.0,3.0,13.625,5.5,1.0,949.38,35.555,370.5,237.918,710.358,advogado,Bom,alto_gasto_pagamento_alto,Good
44763,19.125,85554.03,4.0,2.0,3.0,0.0,12.25,6.625,3.0,1095.73,33.991,238.5,57.047,721.462,musico,Bom,alto_gasto_pagamento_alto,Good
36507,15.5,55829.79,10.0,10.0,18.0,8.0,29.75,18.5,11.0,3422.49,31.121,128.625,79.939,201.478,empresario,Ruim,alto_gasto_pagamento_baixos,Standard
24733,27.0,14165.23,7.0,10.0,33.0,9.0,57.875,24.0,11.0,2797.17,31.181,170.5,45.626,242.592,arquiteto,Ruim,baixo_gasto_pagamento_baixo,Poor
30150,30.0,87215.68,2.0,6.0,8.0,2.0,3.125,5.375,0.0,680.77,31.083,251.5,85.09,575.822,professor,Bom,alto_gasto_pagamento_alto,Good
39740,43.0,81842.28,10.0,9.0,25.0,9.0,20.0,17.625,10.0,3053.16,29.07,7.5,55.371,159.456,advogado,Ruim,alto_gasto_pagamento_alto,Standard
8867,38.0,95956.5,8.0,4.0,11.0,2.0,22.875,10.375,2.0,1079.73,33.947,382.5,202.572,504.647,medico,Normal,baixo_gasto_pagamento_medio,Good
2836,25.75,49967.01,6.625,5.625,31.0,6.0,27.0,11.25,11.25,2253.95,31.168,205.5,59.495,377.148,gerente,Normal,alto_gasto_pagamento_medio,Poor
47494,14.0,39887.22,9.0,9.0,16.0,5.0,56.25,19.5,13.5,3119.6,32.371,152.5,37.21,275.083,desenvolvedor,Ruim,alto_gasto_pagamento_medio,Poor
48667,43.875,14129.76,8.0,5.0,21.0,8.0,62.0,18.625,6.0,4071.62,33.194,154.5,14.897,220.887,desenvolvedor,Ruim,baixo_gasto_pagamento_baixo,Poor
40166,42.75,123732.32,4.0,3.0,11.0,0.0,15.375,8.0,3.0,1154.46,33.93,330.5,96.703,849.552,desenvolvedor,Bom,alto_gasto_pagamento_medio,Standard
28667,36.75,17251.38,6.0,3.0,7.0,7.0,6.875,14.375,8.0,2431.64,31.655,139.5,23.473,291.132,escritor,Normal,baixo_gasto_pagamento_baixo,Standard
17173,22.75,36822.29,8.0,7.0,6.0,4.0,14.375,18.75,4.75,125.25,31.992,299.625,38.114,350.679,empresario,Normal,alto_gasto_pagamento_medio,Good
16219,25.0,80108.31,5.0,3.0,17.0,0.0,24.75,18.875,1.75,997.28,33.048,214.5,52.19,732.148,medico,Normal,alto_gasto_pagamento_alto,Standard
40312,20.375,69977.6,10.0,7.0,20.0,9.0,49.625,18.375,11.0,3042.36,31.009,155.5,64.662,89.081,cientista,Ruim,baixo_gasto_pagamento_medio,Poor
18395,16.0,78988.48,9.0,5.0,29.0,7.0,26.375,16.75,9.0,1746.9,34.374,124.5,88.071,301.022,musico,Ruim,baixo_gasto_pagamento_medio,Poor
36631,45.375,41746.76,8.0,5.0,31.0,3.0,61.625,20.875,9.875,1936.79,30.994,232.5,31.56,371.237,jornalista,Ruim,alto_gasto_pagamento_alto,Poor
32011,21.75,19981.6,10.0,8.0,20.0,7.0,54.0,21.0,12.0,4834.59,33.196,125.5,32.87,251.415,gerente_midia,Ruim,baixo_gasto_pagamento_baixo,Poor
29956,18.875,73737.36,7.0,3.0,18.0,4.0,19.375,18.875,2.0,1219.39,33.374,376.5,77.266,398.664,advogado,Normal,alto_gasto_pagamento_medio,Standard
1908,33.625,88362.46,5.0,2.0,8.0,3.0,15.5,7.5,5.0,325.93,31.209,371.625,78.927,459.132,musico,Bom,alto_gasto_pagamento_alto,Good
40816,45.0,118248.6,5.0,1.0,4.0,0.0,13.625,9.625,6.0,191.09,34.545,208.5,186.509,858.913,empresario,Bom,alto_gasto_pagamento_medio,Good
43894,26.0,60162.1,5.0,7.0,5.0,7.0,17.875,10.75,8.25,1037.45,30.825,161.5,80.013,351.875,cientista,Normal,alto_gasto_pagamento_medio,Standard
23775,17.625,75273.24,8.0,6.0,32.0,5.0,49.75,9.625,7.0,2497.34,35.122,65.5,73.18,485.187,musico,Normal,alto_gasto_pagamento_alto,Poor
8580,18.0,54820.89,8.0,7.0,28.0,6.0,40.625,16.875,9.5,4795.13,32.231,38.5,58.189,299.534,gerente_midia,Ruim,baixo_gasto_pagamento_baixo,Standard
41302,42.0,58674.66,8.0,5.0,15.0,4.0,57.625,23.25,11.0,2425.38,32.975,160.5,69.228,389.759,empresario,Ruim,baixo_gasto_pagamento_baixo,Poor
29938,30.0,30390.44,5.0,6.0,5.0,4.0,18.125,19.625,4.0,580.31,31.185,294.5,45.185,348.191,arquiteto,Normal,alto_gasto_pagamento_medio,Standard
12427,42.5,45207.54,8.0,8.0,24.0,6.0,23.375,20.75,9.5,2497.48,27.454,199.5,32.071,308.969,medico,Ruim,alto_gasto_pagamento_medio,Poor
10279,18.0,144546.72,0.0,3.0,7.0,2.0,14.5,6.875,1.0,1045.11,37.404,278.5,103.901,799.625,cientista,Bom,alto_gasto_pagamento_alto,Good
41621,38.875,30346.35,5.0,4.0,14.0,7.0,27.5,8.25,5.0,523.56,32.044,103.5,29.045,308.559,engenheiro,Normal,baixo_gasto_pagamento_baixo,Standard
27694,46.625,18681.465,2.0,3.0,9.0,2.0,6.0,7.375,2.5,327.88,32.123,372.5,32.95,311.831,mecanico,Bom,baixo_gasto_pagamento_baixo,Good
14412,41.625,9841.34,8.0,9.0,31.0,5.0,61.0,14.875,8.75,4984.82,34.109,56.5,13.486,260.913,cientista,Ruim,alto_gasto_pagamento_baixos,Standard
27835,35.0,72330.98,0.0,3.0,11.0,1.0,1.75,6.125,1.0,596.78,32.685,395.5,48.329,581.201,gerente_midia,Bom,alto_gasto_pagamento_alto,Good
13995,15.75,43241.49,10.0,7.0,30.0,6.0,34.625,16.875,10.0,2174.16,32.016,149.5,38.567,308.862,professor,Ruim,alto_gasto_pagamento_medio,Poor
26185,19.0,34106.78,8.0,5.0,17.0,0.0,8.375,10.0,0.0,996.54,32.857,386.5,24.072,402.312,mecanico,Normal,baixo_gasto_pagamento_baixo,Standard
26710,24.625,129067.59,1.0,3.0,1.0,4.0,8.75,5.375,0.0,137.15,30.894,322.5,112.015,597.498,professor,Bom,alto_gasto_pagamento_alto,Good
41598,34.0,17001.34,6.0,5.0,5.0,1.0,9.25,19.875,0.5,1093.87,28.911,209.625,41.289,306.399,arquiteto,Normal,baixo_gasto_pagamento_baixo,Standard
28685,21.0,44719.17,6.0,6.0,29.0,7.0,44.0,19.625,11.375,3818.57,31.309,158.5,115.764,200.853,contador,Ruim,alto_gasto_pagamento_medio,Poor
30944,47.125,17787.34,8.0,4.0,16.0,2.0,4.375,15.5,0.0,730.9,30.741,360.5,28.516,301.348,contador,Normal,baixo_gasto_pagamento_baixo,Standard
26516,41.875,103353.06,3.0,3.0,6.0,1.0,3.75,8.75,2.0,1374.56,34.08,310.5,67.106,657.52,professor,Bom,alto_gasto_pagamento_alto,Good
3628,38.0,31021.24,7.0,7.0,11.0,4.0,16.875,19.875,6.25,852.81,34.473,397.5,56.978,323.667,jornalista,Normal,alto_gasto_pagamento_medio,Standard
14011,36.25,134978.24,8.0,5.0,15.0,2.0,9.375,15.75,3.75,668.14,36.906,317.5,129.521,739.96,jornalista,Normal,baixo_gasto_pagamento_medio,Good
42879,28.0,39800.12,7.0,5.0,12.0,3.0,17.0,18.5,4.0,660.69,30.9,216.5,33.793,325.278,escritor,Normal,alto_gasto_pagamento_medio,Standard
7792,17.0,14841.35,6.0,5.0,17.0,7.0,60.0,15.5,6.0,3865.15,29.117,92.625,28.822,259.012,gerente,Ruim,baixo_gasto_pagamento_baixo,Standard
41781,21.25,66105.4,6.0,8.0,31.0,5.0,25.625,21.75,9.75,1549.56,31.708,137.5,41.293,366.602,arquiteto,Ruim,alto_gasto_pagamento_baixos,Poor
29152,28.0,15398.95,1.0,7.0,5.0,4.0,1.0,0.375,6.125,343.84,34.228,342.5,45.39,288.909,mecanico,Bom,baixo_gasto_pagamento_alto,Standard
19184,18.0,27070.07,7.0,3.0,11.0,4.0,11.5,15.375,5.375,919.76,33.929,353.5,17.689,302.397,desenvolvedor,Normal,alto_gasto_pagamento_baixos,Standard
14433,53.0,17992.775,3.0,5.0,6.0,0.0,6.875,11.5,2.5,565.22,29.969,230.5,14.787,361.806,engenheiro,Bom,baixo_gasto_pagamento_baixo,Poor
9229,55.25,139354.48,3.0,3.0,18.0,0.0,15.125,16.5,3.125,519.3,34.965,242.5,156.87,877.541,musico,Normal,alto_gasto_pagamento_baixos,Standard
9810,22.0,18305.25,2.0,1.0,4.0,0.0,13.625,9.875,2.625,363.51,33.786,244.625,28.458,303.948,professor,Bom,baixo_gasto_pagamento_baixo,Good
9626,25.375,27865.26,4.0,3.0,6.0,1.0,23.25,17.875,5.0,635.59,27.078,367.5,46.786,370.595,jornalista,Normal,baixo_gasto_pagamento_baixo,Standard
10421,36.0,23404.86,6.0,5.0,7.0,0.0,11.75,17.625,5.0,35.54,32.709,346.5,34.388,376.826,arquiteto,Normal,alto_gasto_pagamento_alto,Standard
34371,33.25,14205.09,7.0,10.0,21.0,8.0,33.625,18.75,15.5,4845.24,31.388,163.625,15.336,270.621,musico,Ruim,baixo_gasto_pagamento_baixo,Poor
4821,28.0,62320.56,9.0,9.0,18.0,5.0,23.25,15.5,14.375,3589.56,34.153,19.5,64.075,403.18,cientista,Ruim,alto_gasto_pagamento_medio,Standard
16132,25.0,43758.34,5.0,6.0,12.0,2.0,12.875,2.0,1.75,1194.28,30.054,400.5,36.814,331.231,gerente,Bom,baixo_gasto_pagamento_baixo,Good
25286,20.0,144881.68,3.0,4.0,15.0,4.0,4.875,13.5,2.0,404.51,34.525,312.5,227.534,383.332,escritor,Normal,alto_gasto_pagamento_alto,Standard
14733,38.0,108147.3,3.0,6.0,6.0,4.0,13.75,20.0,0.75,1113.06,33.275,348.5,116.533,561.809,gerente_midia,Normal,alto_gasto_pagamento_alto,Standard
24971,27.25,17759.1,6.0,8.0,19.0,5.0,23.75,20.5,10.0,3598.39,31.777,60.5,15.194,212.957,advogado,Ruim,baixo_gasto_pagamento_baixo,Poor
29264,37.0,85328.73,3.0,4.0,11.0,1.0,11.875,16.375,1.875,585.05,29.961,382.5,95.82,622.777,professor,Bom,baixo_gasto_pagamento_medio,Good
25653,26.625,134321.44,3.0,5.0,12.0,4.0,26.375,20.0,3.0,1428.68,33.949,395.5,206.216,645.766,escritor,Normal,alto_gasto_pagamento_alto,Standard
46765,24.0,61008.0,10.0,5.0,32.0,4.0,15.75,19.125,13.25,1755.81,31.453,108.5,73.601,406.481,advogado,Normal,alto_gasto_pagamento_medio,Poor
30840,19.0,28665.76,7.0,3.0,5.0,1.0,15.75,10.75,0.0,1237.46,33.872,294.5,44.312,324.946,desenvolvedor,Normal,baixo_gasto_pagamento_baixo,Standard
13749,18.5,56803.71,7.0,5.0,25.0,6.0,46.125,22.75,11.0,2593.44,31.368,72.5,94.388,321.182,advogado,Ruim,alto_gasto_pagamento_baixos,Standard
31247,31.75,38364.82,9.0,6.0,32.0,4.0,33.625,21.875,11.0,1973.63,31.044,234.625,41.529,364.889,arquiteto,Ruim,alto_gasto_pagamento_baixos,Poor
7177,21.125,66528.24,5.0,5.0,11.0,0.0,17.375,10.0,2.0,1460.8,32.706,271.5,38.946,683.044,advogado,Normal,alto_gasto_pagamento_medio,Standard
11277,55.0,19403.405,1.0,7.0,3.0,3.0,12.625,9.375,2.0,339.11,34.377,199.5,12.7,289.145,medico,Bom,baixo_gasto_pagamento_baixo,Standard
36979,19.0,31122.79,7.0,5.0,12.0,0.0,27.75,19.75,3.25,358.6,32.728,276.5,32.419,348.834,jornalista,Normal,baixo_gasto_pagamento_alto,Standard
10259,19.375,15015.4,5.0,5.0,9.0,1.0,24.25,10.625,1.0,330.17,30.127,262.5,47.308,301.07,arquiteto,Bom,baixo_gasto_pagamento_baixo,Poor
44179,34.0,19777.05,5.0,3.0,3.0,3.0,19.625,3.0,1.0,186.16,31.66,262.5,11.764,323.4,engenheiro,Bom,alto_gasto_pagamento_baixos,Poor
35945,24.375,20188.02,4.0,3.0,6.0,3.0,9.625,5.75,0.0,399.92,31.975,245.5,22.79,335.219,musico,Bom,alto_gasto_pagamento_baixos,Good
13914,54.0,41345.58,0.0,5.0,10.0,0.0,7.25,0.375,6.25,646.47,29.09,340.625,36.947,417.201,cientista,Bom,alto_gasto_pagamento_medio,Poor
30086,31.75,55151.04,10.0,6.0,23.0,6.0,31.375,17.25,9.0,1743.83,33.149,149.5,72.069,313.238,engenheiro,Ruim,alto_gasto_pagamento_medio,Poor
40039,39.0,30536.62,6.0,6.0,7.0,2.0,19.0,8.125,4.0,687.87,33.899,187.5,19.681,353.366,gerente,Normal,alto_gasto_pagamento_medio,Standard
31919,29.0,147499.6,2.0,2.0,12.0,2.0,13.25,2.5,1.25,1250.67,30.911,246.5,131.381,640.35,arquiteto,Bom,alto_gasto_pagamento_baixos,Good
41719,42.375,20005.22,8.0,3.0,6.0,4.0,21.875,20.75,11.75,1859.45,33.531,152.5,33.733,266.389,arquiteto,Normal,baixo_gasto_pagamento_alto,Standard
24087,32.375,19795.52,6.875,9.875,34.0,8.0,14.875,20.75,14.375,3135.02,31.062,30.5,28.018,192.736,cientista,Ruim,baixo_gasto_pagamento_baixo,Poor
4744,33.5,60938.13,10.0,8.0,31.0,8.0,25.375,18.625,9.0,3947.24,29.133,61.5,106.612,209.495,medico,Ruim,baixo_gasto_pagamento_baixo,Poor
22139,54.0,80396.86,5.0,7.0,9.0,0.0,7.875,11.125,0.0,1357.54,32.659,320.5,47.963,588.641,gerente,Bom,alto_gasto_pagamento_medio,Standard
9061,42.125,57610.32,8.0,10.0,25.0,9.0,41.375,23.0,7.0,4428.64,32.701,20.5,36.03,263.121,escritor,Ruim,alto_gasto_pagamento_medio,Poor
35332,36.25,18717.02,8.0,5.0,15.0,5.0,9.0,18.125,9.625,2103.99,29.821,187.5,29.939,268.624,jornalista,Normal,baixo_gasto_pagamento_baixo,Poor
24597,17.0,19163.22,3.0,7.0,7.0,2.0,21.75,18.875,5.5,2226.37,32.838,197.5,13.802,286.308,jornalista,Normal,baixo_gasto_pagamento_baixo,Standard
8678,48.0,94554.87,2.0,6.0,2.0,0.0,8.375,0.25,3.0,1487.9,32.238,268.5,98.175,738.173,gerente_midia,Bom,baixo_gasto_pagamento_alto,Good
43430,27.0,63536.98,4.0,5.0,12.0,2.0,29.125,15.25,4.625,89.62,36.602,372.5,36.732,447.866,musico,Normal,alto_gasto_pagamento_alto,Standard
12679,39.5,9983.345,6.75,10.75,15.0,5.0,22.625,16.0,11.0,1823.35,31.101,113.5,0.0,276.409,arquiteto,Normal,alto_gasto_pagamento_alto,Standard
16319,14.625,27796.42,6.0,5.0,16.0,2.0,18.5,13.5,8.5,1073.94,32.078,328.5,34.567,327.382,contador,Normal,baixo_gasto_pagamento_alto,Standard
38204,29.875,132872.72,3.0,3.0,10.0,2.0,13.25,6.125,2.75,89.68,35.345,335.5,143.486,757.957,engenheiro,Bom,alto_gasto_pagamento_alto,Good
19114,41.375,140014.36,3.0,7.0,18.0,4.0,26.5,9.75,3.0,1151.7,31.163,208.5,102.221,638.803,arquiteto,Normal,alto_gasto_pagamento_medio,Standard
10567,47.625,37071.2,1.0,6.0,6.0,4.0,14.375,5.125,3.0,869.99,31.756,223.5,53.602,339.197,contador,Bom,alto_gasto_pagamento_alto,Good
12512,20.0,41735.55,0.0,3.0,8.0,4.0,15.5,5.5,2.75,1480.92,30.257,295.5,60.161,274.799,empresario,Bom,baixo_gasto_pagamento_baixo,Standard
50103,38.0,40391.66,10.0,7.0,18.0,3.0,34.625,22.125,12.0,1950.62,31.05,98.5,34.141,340.881,arquiteto,Ruim,alto_gasto_pagamento_medio,Poor
7835,18.625,7441.295,5.0,8.0,33.0,6.0,16.875,15.75,11.125,2569.3,32.722,70.5,30.899,285.742,escritor,Normal,baixo_gasto_pagamento_baixo,Poor
15240,40.0,19065.32,3.0,6.0,5.0,5.0,23.5,14.125,4.625,2008.06,33.616,202.5,20.969,268.088,cientista,Normal,baixo_gasto_pagamento_baixo,Standard
44625,46.0,24585.55,3.0,4.0,14.0,2.0,9.125,13.875,0.125,195.38,34.256,324.5,34.795,378.281,empresario,Normal,baixo_gasto_pagamento_baixo,Standard
47087,26.625,15013.73,7.0,4.0,14.0,6.0,21.5,9.25,5.0,1403.17,30.844,144.5,38.988,258.455,gerente,Normal,baixo_gasto_pagamento_baixo,Standard
45704,43.875,126006.68,4.0,3.0,20.0,3.0,12.0,11.875,0.0,385.8,31.637,314.5,72.167,523.09,jornalista,Normal,alto_gasto_pagamento_medio,Standard
31266,49.0,102885.32,3.0,5.0,16.0,1.0,13.5,13.125,4.0,605.34,31.957,349.5,79.747,702.834,desenvolvedor,Normal,baixo_gasto_pagamento_baixo,Standard
38037,38.0,34212.01,6.0,5.0,10.0,3.0,18.125,9.125,1.0,512.38,30.99,338.5,26.27,301.201,professor,Normal,baixo_gasto_pagamento_baixo,Standard
25841,26.0,118487.16,8.0,4.0,20.0,4.0,14.75,20.0,1.0,140.26,35.258,379.5,170.984,575.72,empresario,Normal,alto_gasto_pagamento_medio,Standard
26441,26.0,77418.52,7.0,9.0,20.0,7.0,37.5,21.25,6.75,3962.08,30.463,139.5,64.809,372.037,mecanico,Ruim,alto_gasto_pagamento_alto,Poor
49609,45.875,24199.24,3.0,7.0,6.0,1.0,26.75,14.125,2.5,784.35,33.862,256.5,14.578,363.769,arquiteto,Bom,alto_gasto_pagamento_medio,Good
8970,47.125,28587.29,4.0,1.0,7.0,0.0,0.5,2.25,0.5,1496.38,30.682,293.5,70.034,408.029,musico,Bom,baixo_gasto_pagamento_baixo,Good
35112,31.75,16578.115,3.0,5.0,15.0,2.0,9.875,13.125,4.5,1054.86,33.482,276.5,25.856,322.688,gerente,Normal,baixo_gasto_pagamento_baixo,Standard
26671,20.0,74647.4,6.0,5.0,20.0,6.0,51.625,17.0,9.25,4167.43,32.956,162.5,59.457,390.529,escritor,Ruim,alto_gasto_pagamento_alto,Standard
18481,43.0,34766.06,0.0,1.0,11.0,3.0,4.25,4.75,0.0,1374.23,31.065,193.5,37.91,332.551,mecanico,Bom,alto_gasto_pagamento_medio,Good
12965,22.5,16852.635,4.0,6.0,9.0,0.0,28.0,13.375,7.25,775.22,30.166,350.625,26.87,354.438,engenheiro,Normal,baixo_gasto_pagamento_baixo,Standard
28943,20.0,33502.1,7.0,9.0,27.0,6.0,57.0,19.875,10.125,2362.68,30.08,218.625,19.62,251.351,cientista,Normal,baixo_gasto_pagamento_baixo,Poor
42315,27.0,91690.53,2.0,6.0,2.0,2.0,6.0,8.125,3.5,1295.18,33.947,374.5,156.051,576.492,gerente_midia,Bom,baixo_gasto_pagamento_medio,Good
22090,36.75,30502.54,8.0,7.0,24.0,7.0,25.5,19.75,8.0,1672.68,34.278,176.5,20.997,222.213,empresario,Normal,baixo_gasto_pagamento_alto,Poor
45056,20.375,30272.61,3.0,3.0,15.0,1.0,30.0,7.75,8.625,180.94,31.858,193.5,54.666,355.652,gerente_midia,Normal,baixo_gasto_pagamento_alto,Standard
9604,31.0,59971.42,8.0,5.0,6.0,3.0,11.125,19.75,2.0,203.03,34.437,245.5,63.431,514.632,contador,Normal,alto_gasto_pagamento_medio,Standard
23103,32.125,42220.39,1.0,4.0,1.0,4.0,8.375,9.125,1.0,257.81,29.665,271.5,93.311,296.865,contador,Bom,baixo_gasto_pagamento_baixo,Standard
49985,51.0,43581.13,4.0,3.0,9.0,3.0,14.625,2.75,2.0,900.83,33.243,280.5,39.535,372.731,arquiteto,Bom,alto_gasto_pagamento_medio,Good
